date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,2,0,0,0,0,0,0,0,0,49,0,0,0
2010-09-02,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
2010-09-03,0,0,0,0,3,0,0,0,0,0,0,0,0,29,0,0,0
2010-09-04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0
2010-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
2010-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2010-09-07,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2010-09-08,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-09-09,0,0,0,0,0,1,0,0,0,0,0,0,0,3,32,0,0
2010-09-10,0,0,0,0,0,1,0,0,0,0,0,0,0,5,26,0,0
2010-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0
2010-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0
2010-09-13,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0
2010-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0
2010-09-15,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
2010-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
2010-09-17,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
2010-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0
2010-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0
2010-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
2010-09-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-23,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15,0,0
2010-09-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,0,0
2010-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
2010-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0
2010-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0
2010-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
2010-09-30,0,0,0,0,5,0,0,0,0,0,0,0,0,32,0,0,0
2010-10-01,0,0,0,0,0,2,0,0,0,0,0,0,0,3,21,0,0
2010-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0
2010-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0
